@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE homePosTimeLast3 real
@ATTRIBUTE homePosTimeSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE awayPosTimeLast3 real
@ATTRIBUTE awayPosTimeSeason real
@ATTRIBUTE winner {H,A}

@Data
302.666666667, 338.5, 230.0, 242.25, 72.6666666667, 96.25, 19.3333333333, 20.75, 1.66666666667, 2.0, 4.66666666667, 4.75, 1723.66666667, 1779.5, 404.0, 360.0, 266.333333333, 228.25, 137.666666667, 131.75, 23.0, 20.25, 1.66666666667, 1.25, 3.33333333333, 3.75, 1872.66666667, 1795.5, H
371.333333333, 358.5, 217.333333333, 221.5, 154.0, 137.0, 18.3333333333, 18.25, 3.0, 2.75, 5.66666666667, 5.5, 1584.0, 1613.25, 430.666666667, 414.25, 342.333333333, 330.25, 88.3333333333, 84.0, 20.0, 20.25, 0.666666666667, 1.0, 3.0, 2.75, 1509.66666667, 1641.25, A
342.666666667, 321.75, 130.0, 138.25, 212.666666667, 183.5, 23.6666666667, 21.75, 1.0, 1.75, 3.33333333333, 3.75, 2294.33333333, 2157.5, 242.333333333, 297.25, 131.666666667, 166.75, 110.666666667, 130.5, 13.6666666667, 15.75, 2.33333333333, 2.0, 6.66666666667, 6.0, 1783.0, 1918.75, H
350.333333333, 335.4, 218.333333333, 208.8, 132.0, 126.6, 20.6666666667, 19.4, 1.33333333333, 1.6, 6.0, 5.8, 1912.66666667, 1954.6, 380.666666667, 349.0, 288.666666667, 273.6, 92.0, 75.4, 20.6666666667, 18.4, 1.66666666667, 1.4, 5.33333333333, 5.6, 1935.33333333, 1824.6, A
379.0, 340.75, 271.333333333, 241.0, 107.666666667, 99.75, 21.6666666667, 19.25, 1.0, 0.75, 4.0, 4.5, 1695.66666667, 1676.0, 371.333333333, 322.0, 253.333333333, 218.8, 118.0, 103.2, 23.0, 20.0, 1.0, 1.8, 4.66666666667, 4.6, 2117.66666667, 1917.6, H
346.333333333, 327.8, 226.666666667, 214.8, 119.666666667, 113.0, 20.3333333333, 18.2, 1.33333333333, 1.4, 4.66666666667, 4.6, 1805.0, 1739.6, 304.333333333, 281.0, 182.333333333, 167.2, 122.0, 113.8, 19.3333333333, 17.0, 3.33333333333, 2.4, 5.0, 5.4, 1842.66666667, 1737.6, H
362.666666667, 332.6, 280.666666667, 216.0, 82.0, 116.6, 20.6666666667, 19.8, 1.0, 0.8, 4.33333333333, 4.6, 1824.66666667, 1850.2, 366.333333333, 382.2, 253.0, 248.6, 113.333333333, 133.6, 21.3333333333, 23.6, 1.66666666667, 1.4, 4.33333333333, 4.0, 1641.0, 1806.6, H
380.666666667, 414.25, 211.333333333, 248.0, 169.333333333, 166.25, 20.6666666667, 22.5, 1.0, 1.5, 4.33333333333, 3.75, 1933.0, 1997.25, 436.333333333, 417.4, 235.666666667, 257.0, 200.666666667, 160.4, 25.0, 22.4, 1.0, 1.0, 3.66666666667, 3.4, 2209.66666667, 2177.2, H
404.666666667, 375.8, 284.333333333, 275.4, 120.333333333, 100.4, 22.3333333333, 21.4, 1.33333333333, 1.8, 2.66666666667, 3.6, 2049.0, 2028.8, 258.0, 248.4, 128.666666667, 142.2, 129.333333333, 106.2, 14.0, 14.0, 2.33333333333, 2.4, 7.66666666667, 6.8, 1921.0, 1799.4, H
206.0, 284.2, 125.333333333, 189.6, 80.6666666667, 94.6, 13.0, 16.8, 2.0, 1.6, 5.33333333333, 5.4, 1639.66666667, 1751.6, 319.666666667, 282.0, 218.666666667, 184.75, 101.0, 97.25, 18.3333333333, 17.25, 2.33333333333, 3.5, 4.0, 4.0, 1653.66666667, 1666.0, A
